iter	Passed	Remaining
0	196	196695
1	197	98672
2	198	66005
3	199	49596
4	199	39792
5	200	33250
6	201	28564
7	202	25061
8	202	22322
9	203	20132
10	203	18335
11	204	16835
12	205	15573
13	205	14490
14	206	13554
15	206	12728
16	207	11998
17	208	11350
18	208	10772
19	209	10266
20	210	9832
21	211	9413
22	212	9030
23	213	8670
24	213	8334
25	214	8025
26	214	7738
27	215	7472
28	215	7225
29	216	6993
30	216	6777
31	217	6574
32	217	6383
33	218	6204
34	219	6038
35	219	5882
36	220	5733
37	220	5593
38	221	5458
39	222	5330
40	222	5208
41	223	5099
42	224	4999
43	225	4899
44	226	4798
45	226	4702
46	227	4608
47	228	4522
48	228	4438
49	229	4356
50	229	4278
51	230	4202
52	231	4129
53	231	4058
54	232	3989
55	232	3923
56	233	3862
57	234	3802
58	234	3743
59	235	3689
60	236	3633
61	236	3579
62	237	3528
63	237	3477
64	238	3429
65	239	3382
66	239	3339
67	240	3295
68	241	3251
69	241	3210
70	242	3169
71	243	3132
72	243	3093
73	244	3056
74	244	3018
75	245	2983
76	246	2949
77	246	2914
78	247	2881
79	247	2849
80	248	2817
81	248	2786
82	249	2753
83	249	2722
84	250	2694
85	250	2665
86	251	2638
87	251	2611
88	252	2584
89	253	2558
90	253	2535
91	254	2513
92	255	2491
93	256	2468
94	256	2445
95	257	2423
96	257	2401
97	258	2379
98	259	2359
99	259	2338
100	260	2317
101	261	2299
102	261	2280
103	262	2262
104	263	2244
105	264	2227
106	264	2210
107	265	2192
108	266	2175
109	266	2158
110	267	2141
111	268	2125
112	269	2118
113	270	2103
114	271	2088
115	272	2073
116	272	2058
117	273	2043
118	274	2029
119	274	2015
120	275	2001
121	276	1987
122	276	1974
123	277	1962
124	278	1949
125	279	1936
126	279	1922
127	280	1910
128	281	1897
129	281	1885
130	282	1872
131	283	1861
132	283	1850
133	284	1839
134	285	1828
135	286	1818
136	286	1807
137	287	1796
138	288	1786
139	289	1776
140	289	1766
141	290	1754
142	291	1744
143	291	1734
144	292	1725
145	293	1715
146	293	1705
147	294	1695
148	295	1686
149	296	1677
150	296	1668
151	297	1659
152	298	1651
153	298	1641
154	299	1632
155	300	1624
156	300	1615
157	301	1606
158	302	1598
159	302	1589
160	303	1580
161	304	1572
162	304	1564
163	305	1556
164	306	1548
165	306	1540
166	307	1532
167	308	1525
168	308	1517
169	309	1510
170	309	1502
171	310	1495
172	311	1488
173	312	1481
174	312	1474
175	313	1468
176	314	1461
177	315	1454
178	315	1448
179	316	1442
180	317	1436
181	318	1430
182	318	1423
183	319	1417
184	320	1411
185	321	1405
186	321	1399
187	322	1393
188	323	1386
189	323	1380
190	324	1374
191	325	1368
192	325	1362
193	326	1357
194	327	1352
195	328	1346
196	329	1341
197	329	1335
198	330	1329
199	331	1324
200	331	1319
201	332	1313
202	333	1308
203	333	1303
204	334	1297
205	335	1292
206	335	1287
207	336	1281
208	337	1276
209	337	1271
210	338	1266
211	339	1261
212	340	1256
213	340	1251
214	341	1246
215	342	1242
216	342	1237
217	343	1232
218	344	1227
219	344	1222
220	345	1218
221	346	1213
222	346	1208
223	347	1204
224	348	1199
225	348	1194
226	349	1190
227	350	1186
228	350	1181
229	351	1176
230	352	1172
231	352	1167
232	353	1163
233	354	1159
234	354	1155
235	355	1150
236	356	1146
237	356	1142
238	357	1138
239	358	1134
240	359	1130
241	359	1126
242	360	1122
243	361	1119
244	362	1115
245	362	1112
246	363	1108
247	364	1104
248	365	1101
249	365	1097
250	366	1093
251	367	1090
252	367	1086
253	368	1082
254	369	1078
255	369	1074
256	370	1070
257	371	1067
258	371	1063
259	372	1059
260	373	1056
261	374	1053
262	374	1050
263	375	1046
264	376	1043
265	376	1040
266	377	1036
267	378	1033
268	379	1030
269	379	1026
270	380	1023
271	381	1020
272	382	1017
273	382	1014
274	383	1011
275	384	1008
276	385	1005
277	386	1002
278	386	999
279	388	997
280	388	995
281	389	992
282	390	989
283	391	986
284	392	983
285	392	980
286	393	977
287	394	974
288	394	971
289	395	968
290	396	966
291	397	963
292	398	960
293	398	957
294	399	954
295	400	951
296	400	948
297	401	946
298	402	944
299	403	941
300	404	939
301	405	936
302	405	933
303	406	931
304	407	928
305	408	925
306	408	923
307	409	920
308	410	917
309	411	915
310	411	912
311	412	909
312	413	906
313	413	904
314	414	901
315	415	898
316	415	896
317	416	893
318	417	890
319	418	889
320	419	887
321	420	885
322	421	882
323	421	880
324	422	878
325	423	875
326	424	873
327	425	870
328	425	868
329	426	866
330	427	864
331	428	861
332	429	859
333	429	857
334	430	854
335	431	852
336	432	850
337	433	848
338	433	846
339	434	844
340	435	841
341	436	839
342	437	837
343	437	834
344	438	832
345	439	830
346	440	828
347	440	826
348	441	823
349	442	821
350	442	819
351	443	816
352	444	814
353	445	812
354	445	809
355	446	808
356	447	806
357	448	804
358	449	802
359	450	800
360	450	797
361	451	795
362	452	793
363	452	791
364	453	789
365	454	787
366	455	785
367	456	783
368	456	781
369	457	778
370	458	776
371	458	774
372	459	772
373	460	770
374	461	768
375	461	766
376	462	764
377	463	762
378	464	760
379	464	758
380	465	756
381	466	754
382	466	752
383	467	750
384	468	748
385	468	745
386	469	743
387	470	741
388	470	739
389	471	737
390	472	735
391	473	733
392	473	731
393	474	729
394	475	727
395	475	725
396	476	724
397	477	722
398	478	720
399	479	718
400	479	716
401	480	715
402	481	713
403	482	711
404	482	709
405	483	707
406	484	705
407	485	703
408	485	702
409	486	700
410	487	698
411	487	696
412	488	694
413	489	692
414	490	690
415	490	688
416	491	687
417	492	685
418	492	683
419	493	681
420	494	679
421	495	678
422	495	676
423	496	674
424	497	672
425	497	670
426	498	669
427	499	667
428	500	665
429	500	663
430	501	661
431	502	660
432	502	658
433	503	656
434	504	655
435	505	654
436	507	653
437	508	652
438	509	650
439	510	649
440	511	647
441	511	646
442	512	645
443	514	643
444	514	642
445	515	640
446	516	639
447	517	637
448	518	635
449	518	634
450	520	633
451	521	632
452	522	630
453	523	629
454	524	628
455	525	626
456	526	625
457	526	623
458	527	622
459	528	620
460	529	619
461	530	617
462	531	616
463	532	615
464	533	613
465	534	612
466	535	610
467	536	609
468	537	608
469	538	607
470	540	606
471	541	605
472	541	603
473	542	602
474	543	600
475	544	599
476	544	597
477	545	595
478	546	594
479	547	592
480	547	591
481	548	589
482	549	588
483	550	586
484	551	585
485	552	583
486	553	582
487	553	581
488	554	579
489	555	578
490	556	576
491	557	575
492	557	573
493	558	572
494	559	570
495	560	569
496	560	567
497	561	566
498	562	564
499	563	563
500	563	561
501	565	560
502	566	559
503	567	558
504	568	556
505	568	555
506	569	553
507	570	552
508	571	550
509	571	549
510	572	548
511	573	546
512	574	545
513	574	543
514	575	542
515	576	540
516	577	539
517	578	538
518	579	536
519	580	535
520	581	534
521	582	533
522	583	531
523	584	530
524	584	529
525	585	527
526	586	526
527	587	524
528	588	523
529	588	522
530	589	520
531	590	519
532	591	518
533	592	516
534	593	515
535	593	514
536	595	513
537	596	511
538	597	510
539	597	509
540	598	507
541	599	506
542	600	505
543	601	503
544	601	502
545	602	501
546	603	499
547	604	498
548	605	497
549	605	495
550	606	494
551	607	493
552	608	491
553	608	490
554	609	489
555	611	487
556	612	486
557	612	485
558	613	484
559	614	482
560	615	481
561	615	480
562	616	478
563	617	477
564	618	475
565	618	474
566	619	473
567	620	471
568	621	470
569	622	469
570	622	467
571	623	466
572	624	465
573	625	464
574	626	462
575	627	461
576	627	460
577	628	459
578	629	457
579	630	456
580	631	455
581	632	454
582	632	452
583	633	451
584	634	450
585	635	448
586	636	447
587	636	446
588	637	444
589	638	443
590	639	442
591	640	441
592	641	439
593	641	438
594	642	437
595	643	436
596	644	434
597	644	433
598	645	432
599	646	430
600	647	429
601	647	428
602	648	427
603	649	425
604	650	424
605	650	423
606	651	421
607	652	420
608	653	419
609	653	418
610	654	416
611	655	415
612	656	414
613	657	413
614	657	411
615	658	410
616	659	409
617	660	408
618	660	406
619	661	405
620	662	404
621	663	403
622	663	401
623	664	400
624	669	401
625	670	400
